Delete ,Home-Airtel-2,Home-Airtel,AndroidAP,Deepak,0LA_DRIVER_HOTSPOT_9880184381,Chandri,Get Lost .. Its not yours,lotus 4th floor 411,Debasree,bulla2,SusheelaaPG4network,Lotus pg basement,aaranshu2016,0LA AUTOCONNECT GS6QC,chandrapg4,virus,lotus 4th floor 401,Home-Airtel-2_5G,207_2,Lotus second floor 202,susheelaa,Ankur,Lotus G15,Lotus1stfloorg11,sekar,Cool,JPC 6TH ,Haveli,Lotus4thfloor1,BUZA-ZGFyc2FuYQ,Lotus 2nd floor 1,D-Link_DIR-615,Bing7777777,foobar,MGMNT,SusheelaaPGNetwork,manepalli,Princess Leia,Lotus2ndfloor211,Moto G (5) Plus 1910,Lotus3rdfloor301,masha,chandrapg2,Nehaswa,Amaravathi pg4,LotusG2,sanchit,The creep next door,207_1_Guest,Dekhle_Hobe_khorcha_Aache!,R@;€$#,Lotus602,207_1,Amaravathi pg3,@nu,Balki_2AE3,207_3,Airtel_Zerotouch,JP3F 4,BZ7r-dmljdmVua2F0MDEy,Lotus pg 5th Floor,ASHOK M,subhu,Lotus3rdfloor315,Moto G (5S) Plus 5179,vivo 1713,0LA AUTOCONNECT VB8YW,Chandra Row3,Lotus6thfloor615,Lotus3rdfloor311,JioFi2_EA0D27,Chandrapg3
,-70,-75,-91,,,,,,,,,,,,,,,-80,-87,,,,,,,,,,,,,,-72,,,,-83,,,,,,,,,,,,-66,,,,-67,,,,-76,,,,-79,,-89,,,-89,,,,,,
,-74,-74,-91,,,,,,,,,,,,,,,-77,-87,,,,,,,,,,,,,,-70,,,,,,,,,,,,,,,,-66,,,,-66,,,,-74,,,,-79,,,,,-89,,,,,,
,-74,-75,,,,,,,,,,,,,,,,-75,,,,,,,,,,,,,,,-70,,,,-80,,,,,,,,,,,,-66,,,,-66,,,,-70,,,,-76,,,,,-89,,,,,,
,-74,-74,,,,,,,,,,,,,,,,-78,,,,,,,,,,,,,,,-73,,,,-80,,,,,,,,,,,,-64,,,,-62,,,,-70,,,,-76,,-89,,,-90,,-88,,,,
,-67,-67,,-83,,,,,,,,,,,,,,-76,-78,,,,,,,,,,,,,,-73,,-89,,-69,,,,,,,,,,,,-76,-87,,,-73,,,,-62,,,,-77,,-89,,,-90,,-86,,,,
,-60,-67,,-83,,,,,,,,,,,,,,-74,-78,,,,,,,,,,,,,,-73,,-89,,-73,,,,,,,,,,,,-69,-84,,,-68,,,,-59,,,,-77,,-84,,,,,-86,-90,,,
,-61,-65,,,,,-82,,,,,-86,,,,,,-74,-87,,,,,,,,,,,,,,-74,,-85,,-72,,,,,,,,-89,,,,-67,-84,,,-67,,,,-61,,,,,,-87,,,,,,-90,,,
,-61,-65,,,,,-82,,,,,-86,,,,,,-74,-87,,,,,,,,,,,,,,-75,,-85,,-73,,,,,,,,-89,,,,-66,-84,,,-66,,,,-61,,,,,,-88,,,,,,,,,
,-64,-64,,,,,,,,,,-86,,,,,,-74,,,,,,,,,,,,,,,-76,,,,-73,,,,,,,,,,,,-67,,,,-68,,,,-57,,,,-85,,-88,,,,,,,,,
,-65,-65,,-87,,,,,,,,-86,,,,,,-74,,,,,,,,,,,,,,,-76,,,,-74,,,,,,,,-90,,,,-67,-84,,,-68,,,,-57,,,,-85,,,,,,,-87,,,,
,-68,-66,,-87,,,,,,,,,,,,,,-74,,,,,,,,,,,,,,,,,,,-74,,,,,,,,-90,,,,-66,-84,,,-67,,,,-59,,,,,,-91,,,,,-85,,,,
,-68,-66,,,,,,,,,,-88,,,,,,-75,,,,,,,,,,,,,,,-76,,,,-74,,,,,,,,-88,,,,-67,-84,,,-67,,,,-61,,,,,,-91,,,,,-86,,,,
,-66,-66,,-87,,,,,,,,-88,,,,,,-74,-85,,,,,,,,,,,,,,-73,,-83,,-80,,,,,,,,-88,,,,-67,-84,,,-68,,,,-59,,,,,,,,,,,-86,,,,
,-69,-66,-81,-87,,,,,,,,,,,,,,-74,-85,,,,,,,,,,,,,,-73,,-83,,-76,,,,,,,,,,,,-66,-85,,,-66,,,,-61,,,,,,-90,,,,,-86,,,,
,-68,-68,-85,-87,,,,,,,,,,,,,,-74,,,,,,,,,,,,,,,-81,,-86,,-75,,,,,,,,,,,,-70,-85,,,-70,,,,-61,,,,,,-90,,,,,-84,,,,
,-67,-67,-85,-88,,,,,,,,,,,,,,-74,,,,,,,,,,,,,,,-77,,-86,,-75,,,,,,,,,,,,-71,-85,,,-71,,,,-61,,,,,,,,,,,-85,,,,
,-67,-67,,-88,,,,,,,,,,,,,,-72,,,,,,,,,,,,,,,-74,,,,,,,,,,,,,,,,-71,-85,,,-70,,,,-59,,,,,,,,,,,-85,,,,
,-67,-67,-90,,,,,,,,,,,,,,,-72,,,,,,,,,,,,,,,-78,,,,,,,,,-89,,,,,,,-69,-85,,,-69,,,,-61,,,,,,,,,,,-85,,,,
,-67,-66,-90,,,,,,,,,,,,,,,-72,,,,,,,,,,,,,,,-78,,-87,,-81,,,,,-89,,,,,,,-70,-85,,,-69,,,,-59,,,,,,,,,,,-85,,,,
,-66,-65,-86,,,,,,,,,,,,,,,-71,,,,,,,,,,,,,,,-79,,-85,,-81,,,,,,,,,,,,-70,-86,,,-69,,,,-62,,,,,,,,,,,-86,,,,
,-64,-67,-86,-86,,,,,,,,,,,,,,-72,,,,,,,,,,,,,,,-79,,-85,,,,,,,,,,,,,,-70,-85,,,-69,,,,-63,,,,,,,,,,,-86,,,,
,-68,-67,-86,-86,,,,,,,,,,,,,,-72,,,,,,,,,,,,,,,-77,,,,,,,,,,,,-87,,,,-70,-86,,,-69,,,,-63,,,,,,,,,,,-83,,,,
,-68,-67,-86,,,,,-89,,,,,,,,,,-72,,,,,,,,,,,,,,,-77,,-87,,,,,,,,,,-87,,,,-69,-85,,,-68,,,,-63,,,,,,,,-90,,,-84,,,,
,-67,-67,-86,-88,,,,-89,,,,,,,,,,-72,,,,,,,,,,,,,,,-74,,-86,,,,,,,,,,,,,,-69,-85,,,-68,,,,-59,,,,,,-87,,-90,,,-84,,,,
,-67,-67,-87,-88,,,,,,,,,,,,,,-72,,,,,,,,,,,,,,,-74,,-86,,,,,,,,,,,,,,-69,-85,,,-68,,,,-59,,,,,,-87,,,,,-84,,,,
,-67,-67,-85,,,,,,,,,,,,,,,-72,,,,,,,,,,,,,,,-74,,,,,,,,,,,,,,,,-69,-85,,,-68,,,,-58,,,,,,,,,,,-84,,,,
,-67,-67,-84,-88,,,,,,,,,,,,,,-72,,,,,,,,,,,,,,,-74,,,,,,,,,,,,,,,,-69,-86,,,-70,,,,-57,,,,,,,,,,,-85,,,,
,-67,-67,-87,-88,,,,,,,,-88,,,,,,-72,,,,,,,,,,,,,,,-74,,,,,,,,,,,,,,,,-69,-85,,,-68,,,,-60,,,,,,,,,,,-85,,,,
,-67,-67,-84,,,,,,,,,-88,,,,,,-73,,,,,,,,,,,,,,,-77,,,,,,,,,,,,,,,,-69,-84,,,-69,,,,-61,,,,,,,,,,,-84,,,,
,-67,-67,-81,,,,,,,,,,,,,,,-72,,,,,,,,,,,,,,,-74,,,,,,,,,,,,,,,,-69,-84,,,-68,,,,-62,,,,,,,,,,,-84,,,,
,-67,-67,-88,-88,,,,-90,,,,-89,,,,,,-72,,,,,,,,,,,,,,,-75,,,,,,,,,,,,,,,,-69,-86,,,-68,,,,-60,,,,,,-89,,,,,-84,,,,
,-67,-66,-88,-88,,,,-90,,,,-89,,,,,,-73,-84,,,,,,,,,,,,,,-75,,,,,,,,,,,,,,,,-69,-83,,,-68,,,,-61,,,,,,-89,,,,,-85,,,,
,-62,-66,-83,,,,,,,,,,,,,,,-73,-84,,,,,,,,,,,,,,-71,,,,,,,,,-88,,,,,,,-69,-83,,,-68,,,,-59,,,,,,,,,,,-85,,,,
,-62,-66,-83,,,,,,,,,,,,,,,-73,,,,,,,,,,,,,,,-74,,,,,,,,,-88,,,,,,,-67,,,,-67,,,,-59,,,,,,,,,,,-85,,,,
,-69,-68,-80,,,,,,,,,,,,,,,-72,,,,,,,,,,,,,,,-74,,,,,,,,,,,,,,,,-67,,,,-67,,,,-59,,,,,,,,,,,-85,,,,
